Time,total_lmp_da
2022-09-11 10:00:00+00:00,91.73505
2022-09-11 11:00:00+00:00,88.55734
2022-09-11 12:00:00+00:00,88.09653
2022-09-11 13:00:00+00:00,88.79618
2022-09-11 14:00:00+00:00,89.33045
2022-09-11 15:00:00+00:00,81.2263
2022-09-11 16:00:00+00:00,67.08269
2022-09-11 17:00:00+00:00,62.61509
2022-09-11 18:00:00+00:00,61.43905
2022-09-11 19:00:00+00:00,63.59424
2022-09-11 20:00:00+00:00,69.44699
2022-09-11 21:00:00+00:00,72.77396
2022-09-11 22:00:00+00:00,82.31824
2022-09-11 23:00:00+00:00,94.79858
2022-09-12 00:00:00+00:00,101.95597
2022-09-12 01:00:00+00:00,122.69419
2022-09-12 02:00:00+00:00,146.3433
2022-09-12 03:00:00+00:00,133.08124
2022-09-12 04:00:00+00:00,121.39022
2022-09-12 05:00:00+00:00,117.89659
2022-09-12 06:00:00+00:00,101.77628
2022-09-12 07:00:00+00:00,95.57025
2022-09-12 08:00:00+00:00,83.06393
2022-09-12 09:00:00+00:00,80.08612
2022-09-12 10:00:00+00:00,74.3301
2022-09-12 11:00:00+00:00,73.95775
2022-09-12 12:00:00+00:00,76.25816
2022-09-12 13:00:00+00:00,83.74184
2022-09-12 14:00:00+00:00,91.37182
2022-09-12 15:00:00+00:00,85.51667
2022-09-12 16:00:00+00:00,70.45982
2022-09-12 17:00:00+00:00,67.97671
2022-09-12 18:00:00+00:00,67.93153
2022-09-12 19:00:00+00:00,69.4578
2022-09-12 20:00:00+00:00,71.65193
2022-09-12 21:00:00+00:00,78.23747
2022-09-12 22:00:00+00:00,84.3417
2022-09-12 23:00:00+00:00,89.7855
2022-09-13 00:00:00+00:00,94.59343
2022-09-13 01:00:00+00:00,111.34362
2022-09-13 02:00:00+00:00,128.11893
2022-09-13 03:00:00+00:00,122.14975
2022-09-13 04:00:00+00:00,111.93393
2022-09-13 05:00:00+00:00,107.09005
2022-09-13 06:00:00+00:00,97.76462
2022-09-13 07:00:00+00:00,85.70352
2022-09-13 08:00:00+00:00,77.77243
2022-09-13 09:00:00+00:00,72.52756
2022-09-13 10:00:00+00:00,70.17376
2022-09-13 11:00:00+00:00,69.03814
2022-09-13 12:00:00+00:00,70.4161
2022-09-13 13:00:00+00:00,77.77994
2022-09-13 14:00:00+00:00,94.08134
2022-09-13 15:00:00+00:00,89.53237
2022-09-13 16:00:00+00:00,70.26417
2022-09-13 17:00:00+00:00,66.22733
2022-09-13 18:00:00+00:00,65.76403
2022-09-13 19:00:00+00:00,65.72182
2022-09-13 20:00:00+00:00,66.13971
2022-09-13 21:00:00+00:00,67.77931
