Year,Month,Day,Hour,Minute,v_meas,rh,T_C,p_meas,turbine_power_kw,v_std
2009,1,3,0,30,7.640000000000001,82.27,3.83,98590,1363.240320141436,7.664158132424681
2009,1,3,1,30,8.6,83.18,2.89,98590,1673.0746290351028,8.63737028263278
2009,1,3,2,30,8.76,80.91,2.2,98570,1713.2093521471033,8.80533313307011
2009,1,3,3,30,8.71,79.51,1.4,98540,1703.1290372207948,8.763147257672294
2009,1,3,4,30,8.8,79.97,0.73,98520,1726.4066807275497,8.86056363560389
2009,1,3,5,30,8.84,80.47,0.63,98490,1736.074430451263,8.901022935556655
2009,1,3,6,30,8.64,80.81,0.2,98480,1689.009944430684,8.704059194102046
2009,1,3,7,30,8.540000000000001,82.21000000000001,-0.08,98460,1665.5048997835822,8.605691147870191
2009,1,3,8,30,8.43,82.3,-0.22,98420,1638.7900630772524,8.495193623299595
2009,1,3,9,30,7.96,79.31,-0.01,98360,1493.8360568946193,8.017978788130433
2009,1,3,10,30,6.97,76.38,0.21,98340,1128.5185507443705,7.0185006262848395
2009,1,3,11,30,7.640000000000001,76.66,0.72,98310,1371.9029531324436,7.687407281622232
2009,1,3,12,30,8.66,77.37,1.01,98280,1690.3354049516358,8.709606214486861
2009,1,3,13,30,8.78,83.83,1.48,98280,1717.8029430422228,8.8245572004278
2009,1,3,14,30,9.02,81.89,1.64,98270,1771.8666257711654,9.063785793386737
2009,1,3,15,30,9.45,84.64,1.92,98240,1853.2453335923342,9.49130724240785
2009,1,3,16,30,9.22,88.74,2.2,98170,1808.1624771165023,9.25446533814816
2009,1,3,17,30,9.1,91.64,3.09,98130,1782.9870956851946,9.122206964461228
2009,1,3,18,30,8.96,95.04,3.93,98100,1752.8076453529804,8.971051037258759
2009,1,3,19,30,9.17,96.53,4.3,98040,1793.0293843313682,9.174963931344198
2009,1,3,20,30,9.04,97.13,4.62,98020,1767.4400192631456,9.040530702722068
2009,1,3,21,30,9.44,97.83,4.69,97950,1842.9811166509605,9.437384379569007
2009,1,3,22,30,9.45,98.17,5.29,97950,1843.5016190958859,9.440118828977598
