Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
mature-market medium,agriculture land,Intermediate oilseeds,Camelina,POLYSYS,45051,Horry County,South Carolina,1140.41,Crop,400,24969.93,dt,6.11564E+11,BTU,21.9,24492000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,37057,Davidson County,North Carolina,567.7,Crop,70,4061,dt,63847042000,BTU,7.15,15722000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,20041,Dickinson County,Kansas,851.95,Pasture,70,230229,dt,3.78128E+12,BTU,270.24,16424000,Northern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,37061,Duplin County,North Carolina,820.22,Crop,70,250508,dt,4.17346E+12,BTU,305.42,16660000,Appalachia
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,26035,Clare County,Michigan,575.37,Crop,70,0,dt,0,BTU,0,14892000,Lake States
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,27033,Cottonwood County,Minnesota,648.56,Pasture,70,18803,dt,3.13258E+11,BTU,28.99,16660000,Lake States
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,13157,Jackson County,Georgia,343.08,Crop,70,0,dt,0,BTU,0,14892000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,48045,Briscoe County,Texas,901.57,Crop,70,101339,dt,1.66439E+12,BTU,112.4,16424000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,45023,Chester County,South Carolina,586.16,Crop,70,14612,dt,2.39987E+11,BTU,24.93,16424000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,21231,Wayne County,Kentucky,484.16,Crop,70,13613,dt,2.14024E+11,BTU,28.12,15722000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,35005,Chaves County,New Mexico,6075.08,Pasture,70,618731,dt,1.0162E+13,BTU,101.85,16424000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,39081,Jefferson County,Ohio,410.96,Crop,70,0,dt,0,BTU,0,15722000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,48491,Williamson County,Texas,1131.88,Pasture,70,528065,dt,8.67294E+12,BTU,466.54,16424000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,42049,Erie County,Pennsylvania,804,Crop,70,0,dt,0,BTU,0,14892000,Northeast
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,51163,Rockbridge County,Virginia,599.96,Pasture,70,91036,dt,1.57456E+12,BTU,151.74,17296000,Appalachia
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,38087,Slope County,North Dakota,1219.51,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,31131,Otoe County,Nebraska,619.02,Crop,70,295473,dt,4.64543E+12,BTU,477.32,15722000,Northern Plains
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,51051,Dickenson County,Virginia,333.57,Pasture,70,261,dt,4411944000,BTU,0.78,16904000,Appalachia
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,48389,Reeves County,Texas,2642.07,Crop,70,0,dt,0,BTU,0,14892000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,18015,Carroll County,Indiana,375.02,Pasture,70,5742,dt,95661720000,BTU,15.31,16660000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,18001,Adams County,Indiana,339.97,Pasture,70,14688,dt,2.44702E+11,BTU,43.2,16660000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,31079,Hall County,Nebraska,552.14,Crop,70,433489,dt,6.81531E+12,BTU,785.11,15722000,Northern Plains
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,50007,Chittenden County,Vermont,620,Pasture,70,3552,dt,61435392000,BTU,5.73,17296000,Northeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,29013,Bates County,Missouri,851.38,Pasture,70,0,dt,0,BTU,0,16424000,Corn Belt
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,21001,Adair County,Kentucky,412.39,Pasture,70,2862,dt,48379248000,BTU,6.94,16904000,Appalachia
mature-market medium,agriculture land,Intermediate oilseeds,Camelina,POLYSYS,40043,Dewey County,Oklahoma,1008.38,Crop,400,392.62,dt,9616049040,BTU,0.39,24492000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,54003,Berkeley County,West Virginia,321.56,Pasture,70,23919,dt,3.98491E+11,BTU,74.38,16660000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,50001,Addison County,Vermont,807.54,Pasture,70,29517,dt,4.91753E+11,BTU,36.55,16660000,Northeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,39039,Defiance County,Ohio,414.18,Crop,70,221674,dt,3.48516E+12,BTU,535.21,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,42075,Lebanon County,Pennsylvania,362.5,Crop,70,0,dt,0,BTU,0,14892000,Northeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,36099,Seneca County,New York,390.42,Pasture,70,14116,dt,2.35173E+11,BTU,36.16,16660000,Northeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,54069,Ohio County,West Virginia,109.03,Pasture,70,0,dt,0,BTU,0,16424000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,40019,Carter County,Oklahoma,833.78,Pasture,70,490387,dt,8.05412E+12,BTU,588.15,16424000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,18125,Pike County,Indiana,341.09,Crop,70,0,dt,0,BTU,0,14892000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,39037,Darke County,Ohio,599.74,Pasture,70,10331,dt,1.72114E+11,BTU,17.23,16660000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,28127,Simpson County,Mississippi,590.47,Pasture,70,82208,dt,1.35018E+12,BTU,139.22,16424000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,48137,Edwards County,Texas,2119.87,Pasture,70,702438,dt,1.15368E+13,BTU,331.36,16424000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,40087,McClain County,Oklahoma,580.26,Crop,70,5619,dt,93612540000,BTU,9.68,16660000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,01021,Chilton County,Alabama,700.79,Pasture,70,1051,dt,17509660000,BTU,1.5,16660000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,29113,Lincoln County,Missouri,640.46,Pasture,70,81347,dt,1.35524E+12,BTU,127.01,16660000,Corn Belt
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,29125,Maries County,Missouri,529.94,Pasture,70,7042,dt,1.19038E+11,BTU,13.29,16904000,Corn Belt
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,48277,Lamar County,Texas,933.1,Pasture,70,29705,dt,5.02133E+11,BTU,31.83,16904000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,19113,Linn County,Iowa,724.67,Pasture,70,44903,dt,7.48084E+11,BTU,61.96,16660000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,31145,Red Willow County,Nebraska,718.01,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,48207,Haskell County,Texas,910.26,Crop,70,0,dt,0,BTU,0,15722000,Southern Plains
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,28009,Benton County,Mississippi,408.66,Pasture,70,3400,dt,57473600000,BTU,8.32,16904000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,48453,Travis County,Texas,1025.03,Crop,70,12876,dt,2.14514E+11,BTU,12.56,16660000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,40103,Noble County,Oklahoma,742.56,Crop,70,126767,dt,2.11194E+12,BTU,170.72,16660000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,37049,Craven County,North Carolina,719.59,Pasture,70,3567,dt,58584408000,BTU,4.96,16424000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,01083,Limestone County,Alabama,607.19,Pasture,70,89581,dt,1.47128E+12,BTU,147.53,16424000,Southeast
mature-market medium,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,45007,Anderson County,South Carolina,755.76,Crop,70,0,dt,0,BTU,0,14830000,Southeast
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,51125,Nelson County,Virginia,474.21,Pasture,70,943,dt,15940472000,BTU,1.99,16904000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,01121,Talladega County,Alabama,760.32,Pasture,70,1341,dt,22341060000,BTU,1.76,16660000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,39173,Wood County,Ohio,619.71,Pasture,70,82,dt,1366120000,BTU,0.13,16660000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,42115,Susquehanna County,Pennsylvania,832.14,Pasture,70,1308,dt,21791280000,BTU,1.57,16660000,Northeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,47019,Carter County,Tennessee,347.7,Crop,70,0,dt,0,BTU,0,15722000,Appalachia
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,45089,Williamsburg County,South Carolina,937.05,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,48365,Panola County,Texas,821.32,Crop,70,0,dt,0,BTU,0,16424000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,21087,Green County,Kentucky,288.79,Crop,70,27139,dt,4.26679E+11,BTU,93.97,15722000,Appalachia
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,05131,Sebastian County,Arkansas,544.25,Pasture,70,6283,dt,1.06208E+11,BTU,11.54,16904000,Delta States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,39003,Allen County,Ohio,406.85,Crop,70,113383,dt,1.78261E+12,BTU,278.69,15722000,Corn Belt
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,42031,Clarion County,Pennsylvania,609.84,Pasture,70,1019,dt,17225176000,BTU,1.67,16904000,Northeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,20053,Ellsworth County,Kansas,723.29,Crop,70,179496,dt,2.94804E+12,BTU,248.17,16424000,Northern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,42125,Washington County,Pennsylvania,860.85,Pasture,70,118497,dt,1.97416E+12,BTU,137.65,16660000,Northeast
mature-market medium,agriculture land,Intermediate oilseeds,Pennycress,POLYSYS,21009,Barren County,Kentucky,500,Crop,400,10997.91,dt,2.56123E+11,BTU,22,23288300,Appalachia
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,27121,Pope County,Minnesota,717.11,Crop,70,0,dt,0,BTU,0,14892000,Lake States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,48471,Walker County,Texas,801.5,Crop,70,0,dt,0,BTU,0,15722000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,39157,Tuscarawas County,Ohio,571.41,Crop,70,22945,dt,3.60741E+11,BTU,40.16,15722000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,31155,Saunders County,Nebraska,759.82,Pasture,70,625,dt,10412500000,BTU,0.82,16660000,Northern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,40109,Oklahoma County,Oklahoma,718.44,Pasture,70,128434,dt,2.1094E+12,BTU,178.77,16424000,Southern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,55113,Sawyer County,Wisconsin,1350.24,Pasture,70,12518,dt,2.0855E+11,BTU,9.27,16660000,Lake States
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,22105,Tangipahoa Parish,Louisiana,796.63,Pasture,70,113107,dt,1.85767E+12,BTU,141.98,16424000,Delta States
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,17081,Jefferson County,Illinois,583.8,Pasture,70,0,dt,0,BTU,0,16424000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,30033,Garfield County,Montana,4849.09,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,05069,Jefferson County,Arkansas,916.02,Pasture,70,13822,dt,2.27013E+11,BTU,15.09,16424000,Delta States
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,30029,Flathead County,Montana,5256.01,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,20099,Labette County,Kansas,653.12,Pasture,70,497507,dt,8.28847E+12,BTU,761.74,16660000,Northern Plains
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,45071,Newberry County,South Carolina,647.29,Pasture,70,40613,dt,6.67028E+11,BTU,62.74,16424000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,12111,St. Lucie County,Florida,575.34,Pasture,70,107562,dt,1.7666E+12,BTU,186.95,16424000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,40101,Muskogee County,Oklahoma,840.01,Pasture,70,390998,dt,6.42175E+12,BTU,465.47,16424000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,04009,Graham County,Arizona,4640.21,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,"Energy crops, woody",Poplar,POLYSYS,17187,Warren County,Illinois,543.03,Pasture,70,217,dt,3668168000,BTU,0.4,16904000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,55053,Jackson County,Wisconsin,1000.48,Crop,70,0,dt,0,BTU,0,14892000,Lake States
