,onwind,solar,load
336,0.469866415,0,1331.65
337,0.486684101,0,1384.47
338,0.436210123,0,1339.27
339,0.380356395,0,1319.07
340,0.325708264,0,1320.8
341,0.261169756,0,1368.85
342,0.178112291,0,1490.22
343,0.093607615,0,1737.59
344,0.044696538,0.014122858,2024.88
345,0.025265477,0.248662254,2179.87
346,0.010712686,0.519142117,2273.99
347,0.003791403,0.33031257,2305.3
348,0.016647511,0.339257582,2334.88
349,0.058971064,0.333470622,2337.88
350,0.178761459,0.457535372,2237.24
351,0.437106659,0.427343594,2107.43
352,0.690183178,0.171252457,2032.48
353,0.793077029,0.019550158,2020.39
354,0.802159893,0,2158.85
355,0.804774882,0,2202.71
356,0.804434576,0,2185.46
357,0.803841086,0,2059.42
358,0.804981906,0,1897.2
359,0.805081446,0,1724.03
360,0.805184697,0,1522.64
361,0.803777283,0,1401.21
362,0.803483726,0,1321.82
363,0.797702574,0,1299.97
364,0.79588684,0,1300.4
365,0.794430384,0,1358.58
366,0.794675653,0,1473.22
367,0.791883161,0,1734.1
368,0.787816557,0.063730936,1999.84
369,0.774339167,0.476323223,2165.57
370,0.730791246,0.714893005,2298.43
371,0.700825928,0.662816718,2321.03
372,0.665903198,0.592406077,2320.69
373,0.661461646,0.572063828,2342.85
374,0.655937859,0.634397922,2244.09
375,0.662408499,0.714926615,2125.3
376,0.584608997,0.565643896,2062.54
377,0.632588263,0.119216325,2031.96
378,0.672748346,0,2152.38
379,0.730019676,0,2220.26
380,0.771953478,0,2172.71
381,0.769238131,0,2035.89
382,0.734779856,0,1890.38
383,0.663015826,0,1691.63
384,0.520533729,0,1517.56
385,0.547654132,0,1399.27
386,0.587756869,0,1329.4
387,0.613350372,0,1305.03
388,0.655227592,0,1299.4
389,0.669953374,0,1362.06
390,0.647486348,0,1489.85
391,0.603865136,0,1732.81
392,0.558924898,0.020463849,2010.39
393,0.524860929,0.292353547,2161.35
394,0.369523063,0.73108873,2276.26
395,0.235117939,0.666457134,2329.52
396,0.147950364,0.558505643,2323.3
397,0.094209088,0.493164059,2316.47
398,0.068201608,0.398083166,2232.17
399,0.044573641,0.212736675,2115.31
400,0.024420922,0.066322472,2016.13
401,0.047549323,0.013232403,2045.57
402,0.087789869,0,2225.73
403,0.160424133,0,2240.5
404,0.232410407,0,2183.74
405,0.341283654,0,2047.24
406,0.51049187,0,1875.93
407,0.617592623,0,1709.4
408,0.620813699,0,1541.99
409,0.60970906,0,1408.56
410,0.625823164,0,1332.99
411,0.685570057,0,1309
412,0.723675326,0,1307.03
413,0.757557614,0,1359.64
414,0.774711834,0,1477.72
415,0.78334829,0,1746.65
416,0.796366567,0.004629657,2014.28
417,0.804857655,0.025231403,2175.68
418,0.805886671,0.04269339,2287.55
419,0.805883376,0.076539077,2316.6
420,0.805868923,0.101056449,2332.03
421,0.805871195,0.109282233,2324.91
422,0.805434913,0.059195313,2244.6
423,0.803593574,0.045964798,2155.86
424,0.79625652,0.274457094,2049.99
425,0.752362747,0.077768289,2025.6
426,0.712147576,0,2173.95
427,0.611068724,0,2236.97
428,0.579617353,0,2175.66
429,0.550832892,0,2042.62
430,0.654892593,0,1875.99
431,0.722742595,0,1700.43
432,0.711200892,0,1549.05
433,0.666420595,0,1414.53
434,0.640962744,0,1339.99
435,0.586138864,0,1309.29
436,0.547753187,0,1302.65
437,0.522725344,0,1370.57
438,0.499225193,0,1482.39
439,0.563677712,0,1748.62
440,0.554667764,0.002706157,2004.96
441,0.520803916,0.013502516,2156.45
442,0.428509763,0.036250364,2274.89
443,0.343230011,0.042309152,2313.23
444,0.301850165,0.199265168,2329.14
445,0.286733464,0.242828015,2307.51
446,0.295013727,0.161808004,2223.93
447,0.347014441,0.079454675,2126.89
448,0.425036747,0.037169771,2030.76
449,0.494866017,0.012600608,2007.74
450,0.564725895,0,2165.53
451,0.63699063,0,2239.21
452,0.680493653,0,2188.46
453,0.689532526,0,2036.82
454,0.699009309,0,1875.75
455,0.700703317,0,1695.91
456,0.699486495,0,1522.63
457,0.702818448,0,1352.2
458,0.711563451,0,1273.25
459,0.723981955,0,1258.19
460,0.714423086,0,1252.73
461,0.705863279,0,1244.18
462,0.665017883,0,1265.9
463,0.64998806,0,1387.3
464,0.609420931,0.046716677,1458.75
465,0.488795947,0.393502171,1545.68
466,0.363531774,0.504437521,1635.1
467,0.259430985,0.39427207,1629.47
468,0.195817786,0.3971788,1659.11
469,0.179679764,0.476340491,1690.46
470,0.180829203,0.442077003,1680.28
471,0.170532282,0.321928293,1642.59
472,0.127983506,0.193878312,1664.53
473,0.077799076,0.034997464,1685.12
474,0.071809216,0,1888.87
475,0.06806175,0,1998.03
476,0.058957621,0,1969.84
477,0.03212093,0,1957.18
